url;username;password
https://www.identitycloud.ch/controlcenter,testUser09,Test_12345678*
https://www.identitycloud.ch/appdesigner,testUser09,Test_12345678*
https://www.identitycloud.ch/iddirect,testUser09,Test_12345678*
https://staging.identitycloud.ch/controlcenter/,osaTestUserJule,Test_123456
https://staging.identitycloud.ch/iddirect/,osaTestUserJule,Test_123456
https://staging.identitycloud.ch/appdesigner/,automatedTestUser1443114801362,@ut0mAT22$
https://staging.identitycloud.ch/appdesigner/,osaTestUserJule,@Test_123456$
https://integration.identitycloud.ch/controlcenter/,OnlineTest,Test_123456
https://integration.identitycloud.ch/iddirect/,OnlineTest,Test_123456
https://integration.identitycloud.ch/appdesigner/,OnlineTest,Test_123456
https://fake-response.appspot.com/?status=404,--,--
https://fake-response.appspot.com/?status=500,--,--
https://fake-response.appspot.com/?sleep=10,--,--
https://staging.identitycloud.ch/appdesigner/,test123,Test_123456
